timestamp,temp,pressure,humidity,wind_speed,weather_code
1752408000,26.84,1016,50,3.49,802
1752411600,26.84,1016,50,3.09,803
1752415200,26.84,1015,50,2.29,803
1752418800,24.99,1015,50,2.73,803
1752422400,26.28,1015,50,3.52,803
1752426000,25.17,1014,53,3.6,803
1752429600,21.94,1014,64,3.71,803
1752433200,20.81,1015,66,3.19,804
1752436800,19.36,1015,84,3.27,804
1752440400,17.66,1015,92,3.36,804
1752444000,18,1015,95,2.28,804
1752447600,17.54,1015,89,2.37,804
1752451200,16.41,1015,89,3,804
1752454800,15.95,1014,89,2.63,804
1752458400,15.51,1015,94,2.18,803
1752462000,15.97,1014,89,1.85,803
1752465600,18.5,1015,79,1.83,803
1752469200,18.5,1014,80,2.23,803
1752472800,20.17,1014,77,2.61,803
1752476400,21.84,1014,74,2.02,800
1752480000,23.5,1014,70,2.2,800
1752483600,25.17,1014,62,2.44,800
1752487200,26.28,1013,59,2.86,800
1752490800,26.84,1013,56,2.94,802
1752494400,27.95,1013,55,3.38,500
1752498000,27.95,1012,55,3.16,804
1752501600,24.61,1012,45,3.19,804
1752505200,23.5,1012,63,4.66,500
1752508800,24.59,1013,72,5.75,500
1752512400,19.06,1013,87,4.07,803
1752516000,19.06,1012,89,3.57,803
1752519600,18.5,1013,90,2.35,804
1752523200,17.39,1013,90,1.35,804
1752526800,16.84,1014,90,0.37,804
1752530400,15.73,1014,91,2.46,804
1752534000,15.73,1014,91,2.91,803
1752537600,15.17,1014,91,2.82,803
1752541200,14.61,1013,91,3.08,801
1752544800,14.06,1013,92,3.02,801
1752548400,14.06,1013,92,2.87,801
1752552000,14.61,1013,93,2.47,801
1752555600,16.28,1012,94,3.14,802
1752559200,18.5,1012,94,3.07,804
1752562800,20.17,1013,92,3.44,804
1752566400,21.84,1012,86,3.47,804
1752570000,23.5,1012,77,3.75,803
1752573600,24.06,1011,68,4.29,803
1752577200,24.61,1011,65,4.52,802
1752580800,25.17,1010,63,5.2,802
1752584400,25.73,1011,60,6.32,803
1752588000,25.17,1010,59,4.94,804
1752591600,25.17,1010,58,5.06,803
1752595200,24.61,1010,52,3.53,803
1752598800,24.61,1009,56,2.29,803
1752602400,22.95,1009,64,2.1,803
1752606000,20.58,1009,70,2.64,800
1752609600,20.17,1009,73,2.35,800
1752613200,19.06,1010,78,2.57,800
1752616800,17.95,1010,82,2.35,800
1752620400,16.84,1010,84,2.61,801
1752624000,16.28,1010,86,2.09,802
1752627600,16.28,1009,88,2.25,804
1752631200,16.28,1008,89,2.25,804
1752634800,16.28,1008,90,2.62,804
1752638400,16.84,1008,91,3.35,502
1752642000,17.39,1007,92,3.58,500
1752645600,18.5,1007,91,2.88,804
1752649200,19.06,1008,87,3.41,804
1752652800,20.17,1008,85,3.74,804
1752656400,21.28,1007,80,4.04,500
1752660000,21.28,1007,81,4.45,804
1752663600,21.28,1007,79,4.51,804
1752667200,21.28,1007,80,5.28,804
1752670800,21.84,1007,72,5.7,802
1752674400,21.28,1007,76,5.85,803
1752678000,21.28,1007,73,5.75,803
1752681600,19.61,1007,79,5.85,803
1752685200,19.61,1008,79,4.92,803
1752688800,19.06,1008,76,4.37,803
1752692400,17.29,1008,84,3.61,801
1752696000,16.28,1008,83,2.62,800
1752699600,15.17,1009,86,2.91,800
1752703200,14.61,1008,86,2.96,800
1752706800,13.5,1009,87,2.68,800
1752710400,13.5,1008,88,2.76,800
1752714000,12.95,1009,89,2.66,800
1752717600,12.39,1009,89,2.93,800
1752721200,12.39,1009,90,2.89,800
1752724800,12.39,1009,91,2.67,800
1752728400,14.06,1010,91,3.16,801
1752732000,15.73,1010,87,3.26,802
1752735600,17.95,1010,75,4.06,804
1752739200,19.61,1010,70,4.38,804
